OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,168451,232025,144568,116109,84648
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,192511,239123,163323,129708,91756
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,165749,266807,179409,138781,107113
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,228689,277971,188332,156249,105172
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,203620,253244,172681,140802,88017
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,234823,331562,212538,172157,114614
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,190637,252259,162312,132051,98345
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,199824,264473,176565,142817,102286
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,166010,228800,142387,114195,83795
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-10-20T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,192567,239034,163444,129791,92251
